package,version
dplyr,0.8.4
riskmetric,0.1.0.9001
devtools,2.1.0
httr,1.4.1
units,0.6-6
curl,4.2
jsonlite,1.6
scales,1.0.0
cowsay,0.7.0
gridExtra,2.3
ABCanalysis,1.2.1
abcdeFBA,0.4
ABCoptim,0.15.0
ABCp2,1.2
abcrf,1.8.1
abcrlda,1.0.2
abctools,1.1.3
abd,0.2-8
abdiv,0.2.0
abe,3.0.1
abf2,0.7-1
ABHgenotypeR,1.0.1
abind,1.4-5
abjutils,0.2.3
abn,2.2
abnormality,0.1.0
abodOutlier,0.1
ABPS,0.3
AbsFilterGSEA,1.5.1
AbSim,0.2.6
abstractr,0.1.0
abtest,0.2.0
abundant,1.1
Ac3net,1.2.2
ACA,1.1
acc,1.3.3
accelerometry,3.1.2
accelmissing,1.4
accept,0.7.1
AcceptanceSampling,1.0-6
ACCLMA,1
accrual,1.3
accrued,1.4.1
accSDA,1.0.0
ACD,1.5.3
ACDm,1.0.4
ace2fastq,0.6.0
acebayes,1.9
acepack,1.4.1
ACEt,1.8.0
acfMPeriod,1.0.0
acid,1.1
acm4r,1
acmeR,1.1.0
ACNE,0.8.1
acnr,1.0.0
acopula,0.9.3
AcousticNDLCodeR,1.0.2
acp,2.1
aCRM,0.1.1
AcrossTic,1.0-3
acrt,1.0.1
acs,2.1.4
ACSNMineR,0.16.8.25
acss,0.2-5
acss.data,1
ACSWR,1
ACTCD,1.2-0
ActFrag,0.1.1
Actigraphy,1.4.0
ActiveDriver,1.0.0
ActiveDriverWGS,1.0.1
activegp,1.0.3
activity,1.3
activityCounts,0.1.2
activPAL,0.1.3
activpalProcessing,1.0.2
actogrammr,0.2.3
actuar,2.3-3
actuaryr,1.1.1
AcuityView,0.1
ada,2.0-5
adabag,4.2
adagio,0.7.1
adamethods,1.2
AdapEnetClass,1.2
adapr,2.0.0
AdapSamp,1.1.1
adaptalint,0.2.4
AdaptFit,0.2-2
AdaptFitOS,0.67
AdaptGauss,1.5.6
adaptiveGPCA,0.1.2
AdaptiveSparsity,1.6
adaptivetau,2.2-3
adaptMCMC,1.3
adaptMT,1.0.0
ADAPTS,0.9.26
adaptsmoFMRI,1.1
adaptTest,1
AdaSampling,1.3
ADCT,0.1.0
s2,0.4-2
s20x,3.1-28
s2dv,0.0.1
s2dverification,2.8.6
s2net,1.0.1
S2sls,0.1
s4vd,1.1-1
