package,version
dplyr,0.8.4
riskmetric,0.1.0.9001
devtools,2.1.0
httr,1.4.1
units,0.6-6
curl,4.2
jsonlite,1.6
scales,1.0.0
cowsay,0.7.0
gridExtra,2.3
ABCanalysis,1.2.1
abcdeFBA,0.4
ABCoptim,0.15.0
ABCp2,1.2
abcrf,1.8.1
abcrlda,1.0.2
abctools,1.1.3
abd,0.2-8
abdiv,0.2.0
abe,3.0.1
abf2,0.7-1
ABHgenotypeR,1.0.1
abind,1.4-5
abjutils,0.2.3
abn,2.2
abnormality,0.1.0
abodOutlier,0.1
ABPS,0.3
AbsFilterGSEA,1.5.1
AbSim,0.2.6
abstractr,0.1.0
abtest,0.2.0
abundant,1.1
Ac3net,1.2.2
ACA,1.1
acc,1.3.3
accelerometry,3.1.2
accelmissing,1.4
accept,0.7.1
AcceptanceSampling,1.0-6
ACCLMA,1
accrual,1.3
accrued,1.4.1
accSDA,1.0.0
ACD,1.5.3
ACDm,1.0.4
ace2fastq,0.6.0
acebayes,1.9
acepack,1.4.1
ACEt,1.8.0
acfMPeriod,1.0.0
acid,1.1
acm4r,1
acmeR,1.1.0
ACNE,0.8.1
acnr,1.0.0
acopula,0.9.3
AcousticNDLCodeR,1.0.2
acp,2.1
aCRM,0.1.1
AcrossTic,1.0-3
acrt,1.0.1
acs,2.1.4
ACSNMineR,0.16.8.25
acss,0.2-5
acss.data,1
ACSWR,1
ACTCD,1.2-0
ActFrag,0.1.1
Actigraphy,1.4.0
ActiveDriver,1.0.0
ActiveDriverWGS,1.0.1
activegp,1.0.3
activity,1.3
activityCounts,0.1.2
activPAL,0.1.3
activpalProcessing,1.0.2
actogrammr,0.2.3
actuar,2.3-3
actuaryr,1.1.1
AcuityView,0.1
ada,2.0-5
adabag,4.2
adagio,0.7.1
adamethods,1.2
AdapEnetClass,1.2
adapr,2.0.0
AdapSamp,1.1.1
adaptalint,0.2.4
AdaptFit,0.2-2
AdaptFitOS,0.67
AdaptGauss,1.5.6
adaptiveGPCA,0.1.2
AdaptiveSparsity,1.6
adaptivetau,2.2-3
adaptMCMC,1.3
adaptMT,1.0.0
ADAPTS,0.9.26
adaptsmoFMRI,1.1
adaptTest,1
AdaSampling,1.3
ADCT,0.1.0
s2,0.4-2
s20x,3.1-28
s2dv,0.0.1
s2dverification,2.8.6
s2net,1.0.1
S2sls,0.1
s4vd,1.1-1
saasCNV,0.3.4
sabarsi,0.1.0
sabre,0.3.2
sac,1.0.1
saccades,0.1-1
SACCR,2.3
SACOBRA,1.2
SADEG,1.0.0
SADISA,1.2
sadists,0.2.3
sads,0.4.2
sae,1.3
saeME,1.0.1
saemix,2.3
saeRobust,0.2.0
saery,1
saeSim,0.10.0
SAFD,2.1
SafeBayes,1.1
safeBinaryRegression,0.1-3
safer,0.2.1
safetyGraphics,1.1.0
SAGMM,0.2.4
sAIC,1
sail,0.1.0
SailoR,1
SALES,1.0.0
salesforcer,0.1.3
salso,0.1.16
SALTSampler,1.1.0
salty,0.1.0
SAM,1.1.2.1
SAMBA,0.9.0
sambia,0.1.0
samc,1.0.4
SAMM,1.1.1
Sample.Size,1
sampler,0.2.4
SamplerCompare,1.3.0
sampleSelection,1.2-6
samplesize,0.2-4
SampleSize4ClinicalTrials,0.2.2
samplesize4surveys,4.1.1
samplesizeCMH,0.0.0
samplesizelogisticcasecontrol,0.0.6
SampleSizeMeans,1.1
SampleSizeProportions,1
sampling,2.8
SamplingBigData,1.0.0
samplingbook,1.2.2
samplingDataCRT,1
samplingEstimates,0.1-3
SamplingStrata,1.5-1
samplingVarEst,1.4
sampSurf,0.7-5
samr,3
SAMUR,0.6
SAMURAI,1.2.1
samurais,0.1.0
sand,1.0.3
sandwich,2.5-1
SanFranBeachWater,0.1.0
sanitizers,0.1.0
sankey,1.0.2
sankeywheel,0.1.0
santaR,1
santoku,0.3.0
SanzCircos,0.1.0
sanzo,0.1.0
saotd,0.2.0
sapa,2.0-2
sapfluxnetr,0.0.7
SAPP,1.0.7
saqgetr,0.1.19
SAR,1.0.1
sara4r,0.0.7
sarima,0.8.2
SARP.compo,0.1.3
SARP.moodle,0.3.10
sars,1.2.1
sas7bdat,0.5
SAScii,1
sasMap,1.0.0
SASmarkdown,0.4.3
SASmixed,1.0-4
SASPECT,0.1-1
sass,0.2.0
SASxport,1.7.0
sate,1.1.0
satellite,1.0.2
satscanMapper,1.0.1
saturnin,1.1.1
SAutomata,0.1.0
r.blip,1.1
R.cache,0.14.0
R.devices,2.16.1
R.filesets,2.13.0
R.huge,0.9.0
R.matlab,3.6.2
R.methodsS3,1.8.0
R.oo,1.23.0
R.rsp,0.43.2
R.SamBada,0.1.2
R.temis,0.1.2
R.utils,2.9.2
R0,1.2-6
R1magic,0.3.2
R2019nCoV,0.1.0
R2Addhaz,0.1.0
